ts,f0,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14,f15,f16,f17,f18,f19,f20,f21,f22,f23,f24,f25,f26,f27,f28,f29,f30,f31,f32,f33,f34,f35,f36,f37,f38,f39,f40,f41,f42,f43,f44,f45,f46,f47,f48,f49,f50,f51,f52,f53,f54,f55,f56,f57,f58,f59,f60,f61,f62,f63,f64,f65,f66,f67,f68,f69,f70,f71,f72,f73,f74,f75,f76,f77,f78,f79,f80,f81,f82,f83,f84,f85,f86,f87,f88,f89,f90,f91,f92,f93,f94,f95,f96,f97,f98,f99,f100,f101,f102,f103,f104,f105,f106,f107,f108,f109,f110,f111,f112,f113,f114,f115,f116,f117,f118,f119,f120,f121,f122,f123,f124,f125,f126,f127,f128,f129,f130,f131,f132,f133
1178901057,0.46310684,0.37218067,0.5074503,0.33253664,0.41788113,0.32766384,0.545949,0.36065972,0.38760293,0.3514158,0.65414083,0.58911926,0.28971356,0.58515525,0.6883439,0.8835729,0.21015452,0.8666321,0.7925254,0.96935976,0.22250757,0.8729814,0.5941134,1.0,0.3601866,1.0,0.595702,1.0,0.3526726,1.0,0.5990727,1.0,0.36057872,1.0,0.49401242,0.41989735,0.42811075,0.4181058,0.85062796,1.0,0.20522365,0.915807,0.8460907,0.9673554,0.23262134,0.8961822,0.8173867,0.95363563,0.2467142,0.883935,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.21630622,0.8523895,0.2538536,0.865156,0.27250332,0.886267,0.26701438,0.9091657,0.25102514,0.93248975,0.22697863,0.8529565,0.22297971,0.898777,0.22724916,0.9361753,0.22955374,0.9678791,0.19189169,0.86190134,0.18784171,0.90244985,0.19222845,0.94200885,0.19721131,0.97126436,0.168404,0.8755883,0.16039813,0.9083176,0.16097493,0.944765,0.16498716,0.97299767,0.15467519,0.89088964,0.13790405,0.91477966,0.12935835,0.93704927,0.12580952,0.9579841
1178901697,0.46614885,0.37612492,0.50804335,0.33215052,0.41774318,0.334359,0.54570043,0.35747597,0.38558218,0.35898077,0.6639688,0.5979333,0.29307708,0.60149735,0.6881805,0.8861411,0.22121741,0.8989708,0.7733117,0.9837119,0.20984985,0.8876163,0.6013532,1.0,0.3534622,1.0,0.5860176,1.0,0.33410946,1.0,0.56341296,1.0,0.3262995,1.0,0.49794668,0.42339653,0.4307775,0.42342466,0.8245318,1.0,0.17954674,0.9205041,0.8186177,0.98680097,0.20550215,0.89826584,0.787602,0.96971196,0.22241406,0.8790865,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.22076134,0.8716638,0.24592537,0.883036,0.25192192,0.8953618,0.2394157,0.9093714,0.21849594,0.9239858,0.20586294,0.85528326,0.19208686,0.9038859,0.18388467,0.93731743,0.17684947,0.96442837,0.17422584,0.85977733,0.1612618,0.91104007,0.15172775,0.95124185,0.14549977,0.98264563,0.1530217,0.8718312,0.13676605,0.9131593,0.12698238,0.9485926,0.12039055,0.97827923,0.13936803,0.88837534,0.11829755,0.91259384,0.10572792,0.9350839,0.095683865,0.9559833
1178901913,0.48875093,0.37728179,0.53096277,0.3332629,0.43848127,0.33346814,0.5698233,0.35769084,0.40069753,0.35760075,0.6715542,0.5990437,0.30796215,0.59227824,0.6892633,0.890503,0.23230688,0.8847224,0.79398465,0.98564315,0.20539202,0.88740593,0.6006175,1.0,0.3639683,1.0,0.587926,1.0,0.33467576,1.0,0.5628428,1.0,0.3351335,1.0,0.5132548,0.42403805,0.44991273,0.42390323,0.8349663,1.0,0.17544693,0.92070085,0.82091033,0.99141246,0.19903706,0.897907,0.7903509,0.98061734,0.21967585,0.8824559,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2247551,0.8707611,0.24953794,0.8826617,0.25368455,0.89765054,0.2410551,0.9120157,0.21863046,0.9250703,0.21067621,0.8565112,0.19549438,0.90771204,0.18676735,0.94147384,0.17909291,0.9684011,0.17747961,0.85801446,0.16373806,0.9121272,0.1546859,0.95322835,0.14830418,0.98418975,0.15555213,0.8694857,0.13819474,0.9140111,0.12892573,0.95088005,0.1227354,0.98065907,0.14147256,0.88628745,0.12220296,0.9132363,0.1095428,0.9376199,0.099800035,0.9598676
1178901961,0.49115902,0.37787926,0.53262573,0.3342697,0.44238263,0.3344343,0.5693816,0.35882375,0.40826133,0.35876638,0.6720363,0.5952293,0.3127996,0.5922115,0.703374,0.87587416,0.23399535,0.8666047,0.7927119,0.9921198,0.20641945,0.8858175,0.6019574,1.0,0.3683527,1.0,0.59322333,1.0,0.35474327,1.0,0.5765424,1.0,0.34355778,1.0,0.51654065,0.42416131,0.4529232,0.42432615,0.8345182,1.0,0.1753193,0.92068225,0.82097006,1.0,0.20187333,0.8986541,0.79102266,0.9847492,0.22166115,0.8854713,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.22510076,0.8715261,0.24938281,0.88309705,0.25271595,0.8972953,0.23843855,0.9129328,0.21594912,0.92712307,0.20770934,0.8564243,0.1949628,0.9053526,0.18650809,0.9379157,0.17835715,0.96416306,0.17614493,0.8590122,0.16363952,0.9135163,0.15479177,0.95440775,0.14849631,0.98519737,0.15547396,0.87136555,0.13898458,0.9166735,0.13128954,0.95366484,0.12584843,0.9832288,0.14240387,0.8887112,0.12054175,0.9149834,0.10762824,0.93795365,0.09765836,0.9595177
1178905209,0.51865095,0.378225,0.555453,0.33455038,0.47033203,0.33474252,0.5914079,0.35758397,0.4338432,0.35638747,0.68688446,0.577976,0.33099592,0.57174075,0.70518863,0.8933049,0.07630931,0.823769,0.40711132,0.72913384,0.3059994,0.8667773,0.6219173,1.0,0.3542625,1.0,0.61646175,1.0,0.35291806,1.0,0.61186594,1.0,0.36659846,1.0,0.5453059,0.42229822,0.48369873,0.42017353,0.3321601,0.71813965,0.36371282,0.9051215,0.31916052,0.7026441,0.391762,0.87467754,0.34803474,0.70867485,0.38231766,0.8622091,0.43510506,0.7379571,0.38277027,0.7358915,0.33778912,0.72842133,0.30805477,0.724451,0.2835639,0.72816133,0.31159338,0.68848485,0.25246465,0.70883435,0.2139122,0.7281318,0.18392342,0.7412586,0.31553602,0.68498147,0.24473616,0.7125796,0.20337653,0.73321325,0.17377236,0.7472687,0.3202332,0.69620466,0.24855477,0.71562916,0.20824133,0.73424983,0.17788172,0.74627644,0.32425085,0.71615994,0.26791245,0.7227005,0.23592229,0.73136884,0.20982967,0.73849845,0.30509493,0.85402167,0.37136275,0.86442053,0.42270157,0.8833,0.45479324,0.91348386,0.48169714,0.9414952,0.43530142,0.82514286,0.46190783,0.91147983,0.43439513,0.9190115,0.41625056,0.9020698,0.399989,0.8376372,0.43064517,0.92940986,0.39942572,0.9264194,0.3846304,0.9063742,0.36163154,0.85668325,0.39658877,0.9387023,0.3709963,0.931309,0.35465282,0.9105429,0.32611734,0.8820072,0.35883045,0.9371462,0.35880306,0.93959236,0.3528216,0.9296946
1178905274,0.51859254,0.3793157,0.5555267,0.33545175,0.4701878,0.33548987,0.5922804,0.35769802,0.43346113,0.35625416,0.6873046,0.5786124,0.33104965,0.5687713,0.71432376,0.8999331,0.07533496,0.83295846,0.40909278,0.73882794,0.30701986,0.8623061,0.62223023,1.0,0.35663384,1.0,0.6082151,1.0,0.3448842,1.0,0.60003865,1.0,0.35405156,1.0,0.5453601,0.42279783,0.48369133,0.42071173,0.32966244,0.7397152,0.36785996,0.90461314,0.31288943,0.7125696,0.39483953,0.8724917,0.34156787,0.7218816,0.3840307,0.86002505,0.41997576,0.74186236,0.36860842,0.7389082,0.32702968,0.7332075,0.29627338,0.7315322,0.27092502,0.7376935,0.2988719,0.7011389,0.24016294,0.7215581,0.20406139,0.73958814,0.17360587,0.75123507,0.301696,0.69651544,0.23059812,0.7255235,0.19041578,0.7450389,0.15906096,0.757889,0.30764732,0.70652634,0.23572764,0.7300468,0.19717003,0.7476223,0.16679049,0.75825185,0.31235555,0.72701985,0.25798193,0.735146,0.2260828,0.74276656,0.19975695,0.7480991,0.30367285,0.8487603,0.36143357,0.85658747,0.4194621,0.8784484,0.45853326,0.91186976,0.48530555,0.94246536,0.43916592,0.8180228,0.46054187,0.9063106,0.43273437,0.91437465,0.41968125,0.8950453,0.40314564,0.8259145,0.42936882,0.925064,0.40189633,0.92437625,0.39049864,0.90433836,0.36454222,0.8449732,0.39540103,0.9358744,0.37294474,0.93186194,0.36177856,0.91387594,0.328437,0.87062943,0.36571506,0.94159305,0.3602804,0.94278026,0.35344392,0.9286594
1178906533,0.51560515,0.37294546,0.55575806,0.33086875,0.46983236,0.33152616,0.5919652,0.35537767,0.43295622,0.35487106,0.6950028,0.5809726,0.31554765,0.57210284,0.8049118,0.93581855,0.069180995,0.84883225,0.60709244,0.76007664,0.28910384,0.8193457,0.602425,1.0,0.3460139,1.0,0.62001866,1.0,0.3373341,1.0,0.59916234,1.0,0.3354142,1.0,0.54510534,0.41744974,0.47888967,0.41577482,0.539325,0.7527659,0.3555261,0.8298045,0.520025,0.72234285,0.37919012,0.79352164,0.53155714,0.7252095,0.3657686,0.79118025,0.6298794,0.76916635,0.5528947,0.7745092,0.5018106,0.75706285,0.46734098,0.7457044,0.437297,0.73620766,0.5131547,0.67870617,0.4463979,0.70300746,0.4087065,0.7240386,0.38189602,0.7499382,0.53799576,0.68485004,0.46183774,0.70694834,0.4199013,0.73148316,0.38832906,0.75515145,0.5658613,0.70415235,0.4980542,0.7216749,0.45633304,0.74190056,0.42421886,0.76095325,0.59002393,0.7363248,0.55153066,0.7400955,0.52199894,0.745777,0.49544004,0.75081974,0.29315573,0.8235436,0.3629783,0.8372676,0.410642,0.8457961,0.43546113,0.87179846,0.4586445,0.89230436,0.40086988,0.78926677,0.43921342,0.8551052,0.41554043,0.86695766,0.3971371,0.8580809,0.368929,0.79601747,0.40604252,0.8732874,0.37943643,0.8814876,0.36938313,0.865456,0.33148804,0.80889106,0.3703036,0.88116497,0.353013,0.88694775,0.348149,0.8695621,0.30000725,0.82645917,0.31997252,0.8704047,0.3283576,0.8861254,0.33702147,0.8903914
1178907405,0.5088123,0.37179786,0.5563938,0.32967865,0.46736756,0.33003592,0.59014636,0.35545045,0.43475303,0.353616,0.6907041,0.5897805,0.31295058,0.5732876,0.78864646,0.93861735,0.075511,0.8446657,0.66787595,0.78147566,0.24372333,0.7888453,0.57789874,1.0,0.34903046,1.0,0.6132144,1.0,0.3540908,1.0,0.5969579,1.0,0.3582066,1.0,0.54233444,0.4166785,0.47466385,0.41531965,0.64282054,0.7797189,0.3007446,0.79693884,0.6119833,0.7520696,0.3277895,0.76391363,0.60963756,0.750615,0.32131207,0.7590906,0.65916795,0.8279129,0.6078699,0.8182884,0.57001305,0.8040257,0.5413627,0.7945011,0.5341886,0.7851047,0.5890083,0.7130191,0.5556623,0.76856714,0.56752163,0.79984474,0.5827672,0.7998278,0.6227803,0.71708333,0.580297,0.78342485,0.5931008,0.81260395,0.6072159,0.8084203,0.6535094,0.73512626,0.60853285,0.79550385,0.6178835,0.81995654,0.6305983,0.81531096,0.6788747,0.76118207,0.6396888,0.80217516,0.64262855,0.81893677,0.65399665,0.81554884,0.2647586,0.8002063,0.32318968,0.79727,0.35890013,0.7971491,0.37249374,0.8146989,0.3895427,0.8241581,0.33930913,0.7549084,0.37924457,0.8038744,0.36569452,0.8242488,0.34896153,0.8273963,0.31031057,0.76684,0.3500002,0.81653637,0.33224028,0.83203274,0.31981373,0.82764107,0.2794815,0.7842641,0.31752253,0.83147687,0.30265576,0.83639157,0.29381144,0.8224709,0.25808814,0.8037636,0.2827021,0.8355578,0.2897507,0.84033537,0.29628688,0.83586854
1178908623,0.50613713,0.37500662,0.5480936,0.3324139,0.45912966,0.33301026,0.58235526,0.3564724,0.4284426,0.35724136,0.6897801,0.5894342,0.3124768,0.5803134,0.75405496,0.9012644,0.09398967,0.8498197,0.6826416,0.8612827,0.24898638,0.83432364,0.59218675,1.0,0.34667507,1.0,0.6219149,1.0,0.35764974,1.0,0.6082764,1.0,0.36730555,1.0,0.5386723,0.41916052,0.47270763,0.41807237,0.65009695,0.8751704,0.29415876,0.87021357,0.63015527,0.83491915,0.3226842,0.83089834,0.63257694,0.82825404,0.31847113,0.8189281,0.6777077,0.8727378,0.6195846,0.8658415,0.5750327,0.860898,0.5401609,0.86753124,0.5322919,0.87403613,0.58807397,0.77879244,0.5554474,0.8476974,0.5711512,0.86874276,0.5839085,0.85873884,0.6257249,0.78747535,0.5829333,0.8660518,0.59810686,0.87915707,0.6093046,0.8632113,0.6596458,0.808669,0.61303467,0.8800275,0.62487143,0.89012,0.63708407,0.87465507,0.6883235,0.83443403,0.6460331,0.8845902,0.65110886,0.8902326,0.6620641,0.8762528,0.25388807,0.84838325,0.31536308,0.8594532,0.35837746,0.865352,0.37313724,0.8815629,0.39484358,0.896924,0.34055072,0.8151766,0.37611628,0.876976,0.35269988,0.8880963,0.3345377,0.8819431,0.3104238,0.8265396,0.34939292,0.8932994,0.3239004,0.8998245,0.31423563,0.8807518,0.2761499,0.84253305,0.31832033,0.9076795,0.29470295,0.9024315,0.28773052,0.8738264,0.25132972,0.8612356,0.2762502,0.9061498,0.28432855,0.9096336,0.29430842,0.89977
1178909738,0.5040416,0.3727226,0.5485528,0.3294546,0.46070698,0.3309377,0.58430547,0.35457346,0.42995995,0.3539012,0.6926568,0.5915679,0.31551015,0.579576,0.7581198,0.93537414,0.09359905,0.86104804,0.6931861,0.88089836,0.24593519,0.82543343,0.5878967,1.0,0.3503635,1.0,0.6217323,1.0,0.36189458,1.0,0.60998774,1.0,0.3653906,1.0,0.537331,0.4174325,0.47137472,0.41603678,0.66666096,0.8773316,0.2962272,0.84852463,0.64717317,0.82561046,0.32268715,0.8122316,0.64990425,0.82147676,0.31558532,0.80170125,0.6856261,0.86875415,0.6277394,0.85854816,0.5820576,0.85447973,0.5455819,0.86226135,0.54405403,0.86615896,0.60080737,0.77360225,0.5659571,0.84124774,0.581415,0.8615146,0.5943814,0.85054755,0.63816947,0.7827139,0.5939118,0.8619923,0.60835266,0.873764,0.6191756,0.85665536,0.67159504,0.8046591,0.6256682,0.87791795,0.6360355,0.8851974,0.64738786,0.8684271,0.69909805,0.8308814,0.65867656,0.8822656,0.66133124,0.88666296,0.6700426,0.8730864,0.2617644,0.841195,0.32216555,0.84832203,0.36133885,0.8488388,0.37569413,0.86399627,0.39533117,0.8774004,0.33992475,0.7989387,0.37432203,0.8576596,0.35482436,0.8717349,0.337654,0.8664938,0.3105677,0.8103735,0.3474256,0.8762987,0.3246663,0.8828946,0.3125029,0.86358714,0.27586323,0.8273597,0.3158411,0.8887135,0.2945642,0.88520974,0.2847156,0.85961324,0.24789181,0.84641874,0.27329487,0.8868466,0.2819527,0.89227813,0.28924507,0.8882944
